random_seed,dataset,ate_edit_f1,ote_edit_f1,aope_edit_f1,uabsa_edit_f1,aste_edit_f1
0,14lap,0.8683111320373901,0.8337788307021337,0.8602128588093622,0.7450084672215752,0.7229491395408296
0,14res,0.894107168565653,0.8864319031588911,0.8876969415185356,0.8312639170876917,0.8339056950282644
0,15res,0.8695563447221561,0.8391125071560703,0.8609363016196862,0.777496756866395,0.7752474471652034
0,16res,0.8836101973073458,0.8975452688244743,0.8963913355363613,0.8164179643261121,0.8320249149350484
0,hotel_id_v2,0.9046124568854801,0.8897000509422394,0.8980143061619762,0.8878841252955544,0.8879231741761457
17,14lap,0.8770869782463621,0.842541588232823,0.8663550205712685,0.7385066177700875,0.7403704764807952
17,14res,0.8944047939156882,0.884729016927003,0.8924729861238955,0.8412124797694144,0.8388326341291537
17,15res,0.8641938163949558,0.842461062279306,0.8548649578580637,0.7696182905401292,0.7689135361892181
17,16res,0.8849952069914154,0.907904192305321,0.8986663157160536,0.8214319086146942,0.8343223842890503
17,hotel_id_v2,0.902942996088354,0.8993378856775764,0.901114729854575,0.886210081464762,0.8881855858558932
42,14lap,0.8835106302500111,0.8570092827564262,0.8638668627508718,0.7646498488866993,0.7478901422961454
42,14res,0.8977933123922035,0.890275337444311,0.8886000331325316,0.8410461408003866,0.8271602672341851
42,15res,0.8809696923939072,0.8666534484003316,0.8632540908407409,0.7808018281855452,0.7797069421055997
42,16res,0.8817147748722992,0.8950146596479366,0.8956731411842077,0.8103338410986973,0.8183970884919699
42,hotel_id_v2,0.9064216119111546,0.8969314611575977,0.9030667836871857,0.8894991507619096,0.8912818775604893
123,14lap,0.882284429193588,0.8460762117313134,0.86959962001035,0.7586031122507506,0.7518176511093588
123,14res,0.8932660743047065,0.8874204308612194,0.8902071935845305,0.830136247763566,0.8340249874040103
123,15res,0.8692880071146334,0.8505651753302791,0.86356972280368,0.772841338698032,0.7710564617043499
123,16res,0.892872965348867,0.8962796763777188,0.8933024526423664,0.8218963465711315,0.8189280159374982
123,hotel_id_v2,0.9006861188207999,0.8954197556054334,0.9015430502427276,0.8861072294375187,0.8885100735127922
500,14lap,0.8735946399472679,0.8474671961946098,0.8593457760869178,0.7503898709719984,0.7451548146841399
500,14res,0.8914548159148878,0.8925419415344527,0.8923363020904423,0.8380631145174682,0.8341195640000595
500,15res,0.8781590287114466,0.8397521017702022,0.8619450640527175,0.7908079331555563,0.7876342784427294
500,16res,0.8887611366878985,0.908392505055286,0.8975084291816298,0.8168213598811237,0.8219086988046713
500,hotel_id_v2,0.9064462222156383,0.8978013834710601,0.902566615700619,0.8893713936224312,0.8913201893927707
