random_seed,dataset,aste_f1,aste_edit_f1
0,14lap,0.598019801980198,0.7191649976935208
0,14res,0.7256997455470738,0.8325342010670211
0,15res,0.6453608247422681,0.7744695802514575
0,16res,0.7354345749761222,0.8302480419720375
0,hotel_id_v2,0.8068709377901578,0.8878911200163757
0,prosa/news,0.21963394342762063,0.4761633841435016
0,prosa/socmed,0.5351551380586395,0.7478837624389023
17,14lap,0.6256015399422522,0.743224659209024
17,14res,0.7363031233998976,0.835170002746895
17,15res,0.6301925025329281,0.7726408559103658
17,16res,0.75,0.8351060878713756
17,hotel_id_v2,0.8073012939001849,0.8878890466799537
17,prosa/news,0.23961661341853033,0.5074568626103253
17,prosa/socmed,0.5262563523433089,0.7475300765087296
42,14lap,0.6223506743737958,0.7455183650051284
42,14res,0.7049425861208187,0.8258789347197947
42,15res,0.6598150051387462,0.7812335135155566
42,16res,0.7306201550387598,0.8131989748282745
42,hotel_id_v2,0.8090867370353374,0.890827846137319
42,prosa/news,0.24671052631578946,0.507282495652412
42,prosa/socmed,0.5211707871554419,0.7454608617743644
123,14lap,0.6251217137293086,0.7499925252312118
123,14res,0.7266296109146032,0.8350418040740251
123,15res,0.6443768996960486,0.7702371777246186
123,16res,0.722117202268431,0.8183021531584979
123,hotel_id_v2,0.8087482550023266,0.8873041275151009
123,prosa/news,0.23127035830618892,0.4946261415645126
123,prosa/socmed,0.5414301929625426,0.7549499938119376
500,14lap,0.6292352371732818,0.7439297122711356
500,14res,0.7253521126760564,0.8317600284791551
500,15res,0.6598569969356487,0.7917644250470313
500,16res,0.7236084452975048,0.8167591042240375
500,hotel_id_v2,0.813324080499653,0.89096897060645
500,prosa/news,0.2508361204013378,0.48731941797860173
500,prosa/socmed,0.5221391604370328,0.744639840026215
