random_seed,dataset,aste_f1
0,aste_data_v2_14lap,0.6001936108422072
0,aste_data_v2_14res,0.7147977470558116
0,aste_data_v2_15res,0.6285714285714286
0,aste_data_v2_16res,0.6892545982575023
0,hotel_id_v2,0.794233899093234
17,aste_data_v2_14lap,0.6090373280943026
17,aste_data_v2_14res,0.7173913043478262
17,aste_data_v2_15res,0.6462793068297656
17,aste_data_v2_16res,0.7131782945736435
17,hotel_id_v2,0.7756833176248822
42,aste_data_v2_14lap,0.6194174757281553
42,aste_data_v2_14res,0.7053941908713693
42,aste_data_v2_15res,0.606361829025845
42,aste_data_v2_16res,0.7121951219512196
42,hotel_id_v2,0.7962324833448197
123,aste_data_v2_14lap,0.6111655239960823
123,aste_data_v2_14res,0.7386541471048513
123,aste_data_v2_15res,0.6209677419354839
123,aste_data_v2_16res,0.7018216682646212
123,hotel_id_v2,0.8064884624171808
500,aste_data_v2_14lap,0.6114897760467382
500,aste_data_v2_14res,0.717741935483871
500,aste_data_v2_15res,0.5904365904365905
500,aste_data_v2_16res,0.6940726577437859
500,hotel_id_v2,0.7927222478120681
