random_seed,dataset,aste_edit_f1
0,aste_data_v2_14lap,0.7357559251720304
0,aste_data_v2_14res,0.831555155672123
0,aste_data_v2_15res,0.7658938572135423
0,aste_data_v2_16res,0.7975901880773288
0,hotel_id_v2,0.8787743179354613
17,aste_data_v2_14lap,0.7359439954995218
17,aste_data_v2_14res,0.8325290799633731
17,aste_data_v2_15res,0.7904687379937451
17,aste_data_v2_16res,0.8164440419598867
17,hotel_id_v2,0.870043177655177
42,aste_data_v2_14lap,0.7438423863659545
42,aste_data_v2_14res,0.8147840889298036
42,aste_data_v2_15res,0.765801444223722
42,aste_data_v2_16res,0.8109810762770017
42,hotel_id_v2,0.8802361588692588
123,aste_data_v2_14lap,0.746334865247585
123,aste_data_v2_14res,0.8406727351289283
123,aste_data_v2_15res,0.7719344813947496
123,aste_data_v2_16res,0.8130154822970612
123,hotel_id_v2,0.8845359417909576
500,aste_data_v2_14lap,0.7377289576016595
500,aste_data_v2_14res,0.8316359179977857
500,aste_data_v2_15res,0.7496417884065798
500,aste_data_v2_16res,0.8017651248597327
500,hotel_id_v2,0.8768877611515019
