random_seed,dataset,aste_f1
0,aste_data_v2_14lap,0.6021297192642787
0,aste_data_v2_14res,0.7199180747567845
0,aste_data_v2_15res,0.6346938775510204
0,aste_data_v2_16res,0.6873184898354308
0,hotel_id_v2,0.7960939316438038
17,aste_data_v2_14lap,0.6188605108055009
17,aste_data_v2_14res,0.7236024844720497
17,aste_data_v2_15res,0.6564729867482161
17,aste_data_v2_16res,0.7170542635658915
17,hotel_id_v2,0.7794533459000942
42,aste_data_v2_14lap,0.6233009708737863
42,aste_data_v2_14res,0.7157676348547718
42,aste_data_v2_15res,0.614314115308151
42,aste_data_v2_16res,0.7121951219512196
42,hotel_id_v2,0.7971513898460832
123,aste_data_v2_14lap,0.6190009794319294
123,aste_data_v2_14res,0.7428273343766302
123,aste_data_v2_15res,0.627016129032258
123,aste_data_v2_16res,0.7018216682646212
123,hotel_id_v2,0.8069453963902216
500,aste_data_v2_14lap,0.6231742940603701
500,aste_data_v2_14res,0.7207661290322581
500,aste_data_v2_15res,0.5966735966735967
500,aste_data_v2_16res,0.6959847036328872
500,hotel_id_v2,0.797328420082911
