random_seed,dataset,aste_edit_f1
0,aste_data_v2_14lap,0.7371337153834219
0,aste_data_v2_14res,0.8322821326965621
0,aste_data_v2_15res,0.7671973539970379
0,aste_data_v2_16res,0.7962515879801363
0,hotel_id_v2,0.8794968926363314
17,aste_data_v2_14lap,0.738795920979878
17,aste_data_v2_14res,0.833203067943947
17,aste_data_v2_15res,0.7925356205330619
17,aste_data_v2_16res,0.8172089466539868
17,hotel_id_v2,0.8710447064419186
42,aste_data_v2_14lap,0.7457685502120817
42,aste_data_v2_14res,0.8170464354952801
42,aste_data_v2_15res,0.7677012838241867
42,aste_data_v2_16res,0.8091984852640235
42,hotel_id_v2,0.8806183320781558
123,aste_data_v2_14lap,0.7489850158131378
123,aste_data_v2_14res,0.8407022399894091
123,aste_data_v2_15res,0.7734068289937936
123,aste_data_v2_16res,0.8112404635561045
123,hotel_id_v2,0.8848755894632514
500,aste_data_v2_14lap,0.7394198560437105
500,aste_data_v2_14res,0.8323771933027285
500,aste_data_v2_15res,0.7499355327666303
500,aste_data_v2_16res,0.8014143083409352
500,hotel_id_v2,0.877982268035657
