random_seed,dataset,aste_f1
0,aste_data_v2_14lap,0.5943852855759924
0,aste_data_v2_14res,0.7137736815156169
0,aste_data_v2_15res,0.6285714285714286
0,aste_data_v2_16res,0.6873184898354308
0,hotel_id_v2,0.794233899093234
17,aste_data_v2_14lap,0.6090373280943026
17,aste_data_v2_14res,0.7173913043478262
17,aste_data_v2_15res,0.6462793068297656
17,aste_data_v2_16res,0.7131782945736435
17,hotel_id_v2,0.7747408105560791
42,aste_data_v2_14lap,0.6135922330097087
42,aste_data_v2_14res,0.7053941908713693
42,aste_data_v2_15res,0.6043737574552684
42,aste_data_v2_16res,0.7121951219512196
42,hotel_id_v2,0.7953135768435562
123,aste_data_v2_14lap,0.6072477962781587
123,aste_data_v2_14res,0.7386541471048513
123,aste_data_v2_15res,0.6189516129032258
123,aste_data_v2_16res,0.7018216682646212
123,hotel_id_v2,0.8055745944710989
500,aste_data_v2_14lap,0.6095423563777995
500,aste_data_v2_14res,0.717741935483871
500,aste_data_v2_15res,0.5904365904365905
500,aste_data_v2_16res,0.6940726577437859
500,hotel_id_v2,0.7918010133578995
