random_seed,dataset,aste_edit_f1
0,aste_data_v2_14lap,0.7369055306051673
0,aste_data_v2_14res,0.83222749490111
0,aste_data_v2_15res,0.767185661226454
0,aste_data_v2_16res,0.7973145403537607
0,hotel_id_v2,0.8792283022790093
17,aste_data_v2_14lap,0.7380092952253391
17,aste_data_v2_14res,0.8331796470167737
17,aste_data_v2_15res,0.791118621991059
17,aste_data_v2_16res,0.8175595701908633
17,hotel_id_v2,0.8710509966951188
42,aste_data_v2_14lap,0.7443906231653519
42,aste_data_v2_14res,0.8162566569582309
42,aste_data_v2_15res,0.7675084477257781
42,aste_data_v2_16res,0.8104281800598879
42,hotel_id_v2,0.8804741476013913
123,aste_data_v2_14lap,0.747012845652763
123,aste_data_v2_14res,0.8413860312804924
123,aste_data_v2_15res,0.7731963592832305
123,aste_data_v2_16res,0.8124537626567313
123,hotel_id_v2,0.8846976355127801
500,aste_data_v2_14lap,0.7385382225949867
500,aste_data_v2_14res,0.832479698839499
500,aste_data_v2_15res,0.75080202528714
500,aste_data_v2_16res,0.8018080234791488
500,hotel_id_v2,0.8776756868000811
