random_seed,dataset,aste_f1
0,aste_data_v2_14lap,0.6049261083743842
0,aste_data_v2_14res,0.7215320910973085
0,aste_data_v2_15res,0.6409989594172737
0,aste_data_v2_16res,0.696078431372549
0,hotel_id_v2,0.7973856209150327
17,aste_data_v2_14lap,0.6169154228855721
17,aste_data_v2_14res,0.7245164662833246
17,aste_data_v2_15res,0.6624869383490073
17,aste_data_v2_16res,0.7201565557729941
17,hotel_id_v2,0.7804414906242582
42,aste_data_v2_14lap,0.6226600985221674
42,aste_data_v2_14res,0.713162034609334
42,aste_data_v2_15res,0.6216768916155418
42,aste_data_v2_16res,0.7249255213505461
42,hotel_id_v2,0.7988001845869865
123,aste_data_v2_14lap,0.6181455633100698
123,aste_data_v2_14res,0.7448711204629144
123,aste_data_v2_15res,0.6349534643226473
123,aste_data_v2_16res,0.7079303675048357
123,hotel_id_v2,0.8096440872560274
500,aste_data_v2_14lap,0.6204162537165511
500,aste_data_v2_14res,0.7269014803471159
500,aste_data_v2_15res,0.6016949152542372
500,aste_data_v2_16res,0.7028073572120038
500,hotel_id_v2,0.7982354306942185
