random_seed,dataset,aste_edit_f1
0,aste_data_v2_14lap,0.7329869641477665
0,aste_data_v2_14res,0.82822004957084
0,aste_data_v2_15res,0.7680936102571709
0,aste_data_v2_16res,0.7960142126409013
0,hotel_id_v2,0.8792534780407533
17,aste_data_v2_14lap,0.7355189741534262
17,aste_data_v2_14res,0.8304045754446404
17,aste_data_v2_15res,0.788157907290087
17,aste_data_v2_16res,0.8145274128060797
17,hotel_id_v2,0.8681644780886717
42,aste_data_v2_14lap,0.7382878682914733
42,aste_data_v2_14res,0.810236588117886
42,aste_data_v2_15res,0.7673282097317226
42,aste_data_v2_16res,0.8117012096017081
42,hotel_id_v2,0.8801276367504258
123,aste_data_v2_14lap,0.74062528465389
123,aste_data_v2_14res,0.8376843689466631
123,aste_data_v2_15res,0.7734062034681115
123,aste_data_v2_16res,0.8084295135024994
123,hotel_id_v2,0.8849178685316003
500,aste_data_v2_14lap,0.7370853374983487
500,aste_data_v2_14res,0.8337050192764077
500,aste_data_v2_15res,0.7483021622492654
500,aste_data_v2_16res,0.7989566227760901
500,hotel_id_v2,0.8764037336224856
