random_seed,dataset,aste_f1,aste_edit_f1
0,14lap,0.5928085519922255,0.7217761935139356
0,14res,0.7183879093198993,0.8327238075622632
0,15res,0.6361788617886178,0.7739563426252432
0,16res,0.7284768211920529,0.8321088632870406
0,hotel_id_v2,0.8034188034188035,0.8874716446992472
0,prosa/news,0.21324717285945075,0.4846459290423217
0,prosa/socmed,0.5260212646894238,0.749457227973702
17,14lap,0.6184586108468126,0.7395617422633027
17,14res,0.7273646939807791,0.8381709238787263
17,15res,0.6172106824925816,0.7685937714733767
17,16res,0.7394167450611476,0.8357078471499771
17,hotel_id_v2,0.8034894398530762,0.887511306620767
17,prosa/news,0.2311248073959938,0.5146337762835539
17,prosa/socmed,0.5199219838395096,0.7474807738566307
42,14lap,0.6118980169971671,0.7465843262607809
42,14res,0.6993561168895492,0.8261654102081735
42,15res,0.6484848484848486,0.7788331813953964
42,16res,0.7194656488549618,0.8176605869231661
42,hotel_id_v2,0.8067688085982164,0.8909774421198674
42,prosa/news,0.2407704654895666,0.5090287323746523
42,prosa/socmed,0.5147182506307821,0.747120033025927
123,14lap,0.61671469740634,0.7500382548087844
123,14res,0.7182817182817184,0.8336453906952359
123,15res,0.6366366366366367,0.7696676896775567
123,16res,0.7146866230121608,0.8187479314463125
123,hotel_id_v2,0.8042523688467761,0.8876345677398451
123,prosa/news,0.22611464968152867,0.5052741777430867
123,prosa/socmed,0.5348641837020442,0.755064187417631
500,14lap,0.6228571428571429,0.7443296940463199
500,14res,0.719201995012469,0.8334279838986236
500,15res,0.6466466466466466,0.7873108824409515
500,16res,0.7174119885823025,0.823066011840552
500,hotel_id_v2,0.8098413428374339,0.8912706997878708
500,prosa/news,0.24549918166939447,0.49428560117616244
500,prosa/socmed,0.5160556976413755,0.7443270498565336
