random_seed,dataset,aste_f1,aste_edit_f1
0,14lap,0.5947521865889214,0.7229491395408296
0,14res,0.723425692695214,0.8339056950282644
0,15res,0.6402439024390244,0.7752474471652034
0,16res,0.7284768211920529,0.8320249149350484
0,hotel_id_v2,0.8052668052668053,0.8879231741761457
0,prosa/news,0.21647819063004844,0.4872795385643354
0,prosa/socmed,0.5349748181309457,0.7520885032875341
17,14lap,0.6203615604186488,0.7403704764807952
17,14res,0.7344461305007588,0.8388326341291537
17,15res,0.6172106824925816,0.7689135361892181
17,16res,0.7394167450611476,0.8343223842890503
17,hotel_id_v2,0.8048668503213957,0.8881855858558932
17,prosa/news,0.23728813559322035,0.5156013537642506
17,prosa/socmed,0.5271663415993313,0.7493152329310135
42,14lap,0.6213408876298395,0.7478901422961454
42,14res,0.703318474492323,0.8271602672341851
42,15res,0.6484848484848486,0.7797069421055997
42,16res,0.7232824427480915,0.8183970884919699
42,hotel_id_v2,0.8072261605305282,0.8912818775604893
42,prosa/news,0.24398073836276085,0.5107277319291502
42,prosa/socmed,0.5231286795626577,0.7494463125058812
123,14lap,0.6224783861671469,0.7518176511093588
123,14res,0.7212787212787213,0.8340249874040103
123,15res,0.6406406406406406,0.7710564617043499
123,16res,0.7146866230121608,0.8189280159374982
123,hotel_id_v2,0.8070256528772822,0.8885100735127922
123,prosa/news,0.23248407643312102,0.5075329432881479
123,prosa/socmed,0.5404648557826939,0.7569880458794602
500,14lap,0.6228571428571429,0.7451548146841399
500,14res,0.7241895261845388,0.8341195640000595
500,15res,0.6486486486486487,0.7876342784427294
500,16res,0.7174119885823025,0.8219086988046713
500,hotel_id_v2,0.810301218670959,0.8913201893927707
500,prosa/news,0.24877250409165302,0.4945060154369301
500,prosa/socmed,0.5211707871554419,0.7462702939396836
