random_seed,dataset,aste_f1,aste_edit_f1
0,14lap,0.586977648202138,0.7218991789826978
0,14res,0.7183879093198993,0.8332018326512494
0,15res,0.6361788617886178,0.7752962035804875
0,16res,0.7284768211920529,0.8332470548857149
0,hotel_id_v2,0.8029568029568029,0.8877679513683224
0,prosa/news,0.21324717285945075,0.4859948791804573
0,prosa/socmed,0.5260212646894238,0.7510959841746557
17,14lap,0.6184586108468126,0.7399277333860673
17,14res,0.7273646939807791,0.8389369645563892
17,15res,0.6152324431256182,0.7690658693708242
17,16res,0.7394167450611476,0.8355437892009824
17,hotel_id_v2,0.8021120293847567,0.8879509009563377
17,prosa/news,0.2311248073959938,0.515133868769577
17,prosa/socmed,0.5193647255502924,0.7485585914652849
42,14lap,0.6100094428706326,0.7464768119254682
42,14res,0.6993561168895492,0.8271735514751192
42,15res,0.6484848484848486,0.7803607072292169
42,16res,0.7194656488549618,0.8188190470511277
42,hotel_id_v2,0.8063114566659045,0.8912574283357775
42,prosa/news,0.2407704654895666,0.5101198246444109
42,prosa/socmed,0.5141575553686571,0.748163011146298
123,14lap,0.61671469740634,0.7515510236749944
123,14res,0.7182817182817184,0.8340642026832225
123,15res,0.6366366366366367,0.7708005487256221
123,16res,0.7146866230121608,0.8197967028284188
123,hotel_id_v2,0.8033279408366074,0.8883307656811464
123,prosa/news,0.22611464968152867,0.5068363599214039
123,prosa/socmed,0.5343041164939795,0.756176032054007
500,14lap,0.6190476190476191,0.745073888876758
500,14res,0.719201995012469,0.8343075161162744
500,15res,0.6466466466466466,0.7877155451494294
500,16res,0.7174119885823025,0.8230245714824939
500,hotel_id_v2,0.808461715336859,0.8912952470470453
500,prosa/news,0.24549918166939447,0.4949957415781056
500,prosa/socmed,0.5160556976413755,0.7455546393196597
