random_seed,dataset,aste_f1,aste_edit_f1
0,aste_data_v2_14lap,0.6001936108422072,0.7357559251720304
0,aste_data_v2_14res,0.7147977470558116,0.831555155672123
0,aste_data_v2_15res,0.6285714285714286,0.7658938572135423
0,aste_data_v2_16res,0.6892545982575023,0.7975901880773288
0,hotel_id_v2,0.794233899093234,0.8787743179354613
0,prosa/news,0.23923444976076555,0.4909786783362343
0,prosa/socmed,0.518034649247373,0.7393731546604317
17,aste_data_v2_14lap,0.6090373280943026,0.7359439954995218
17,aste_data_v2_14res,0.7173913043478262,0.8325290799633731
17,aste_data_v2_15res,0.6462793068297656,0.7904687379937451
17,aste_data_v2_16res,0.7131782945736435,0.8164440419598867
17,hotel_id_v2,0.7756833176248822,0.870043177655177
17,prosa/news,0.2229299363057325,0.47965270548472305
17,prosa/socmed,0.5120362503540073,0.7383450689655666
42,aste_data_v2_14lap,0.6194174757281553,0.7438423863659545
42,aste_data_v2_14res,0.7053941908713693,0.8147840889298036
42,aste_data_v2_15res,0.606361829025845,0.765801444223722
42,aste_data_v2_16res,0.7121951219512196,0.8109810762770017
42,hotel_id_v2,0.7962324833448197,0.8802361588692588
42,prosa/news,0.23432343234323436,0.4977872092205712
42,prosa/socmed,0.5105293113261242,0.7289537978458739
123,aste_data_v2_14lap,0.6111655239960823,0.746334865247585
123,aste_data_v2_14res,0.7386541471048513,0.8406727351289283
123,aste_data_v2_15res,0.6209677419354839,0.7719344813947496
123,aste_data_v2_16res,0.7018216682646212,0.8130154822970612
123,hotel_id_v2,0.8064884624171808,0.8845359417909576
123,prosa/news,0.23300970873786406,0.4764239006758051
123,prosa/socmed,0.5076083835773759,0.7353892182271631
500,aste_data_v2_14lap,0.6114897760467382,0.7377289576016595
500,aste_data_v2_14res,0.717741935483871,0.8316359179977857
500,aste_data_v2_15res,0.5904365904365905,0.7496417884065798
500,aste_data_v2_16res,0.6940726577437859,0.8017651248597327
500,hotel_id_v2,0.7927222478120681,0.8768877611515019
500,prosa/news,0.23567921440261863,0.4773291749180906
500,prosa/socmed,0.49194232400339266,0.7206770821429277
