random_seed,dataset,aste_f1,aste_edit_f1
0,aste_data_v2_14lap,0.6021297192642787,0.7371337153834219
0,aste_data_v2_14res,0.7199180747567845,0.8322821326965621
0,aste_data_v2_15res,0.6346938775510204,0.7671973539970379
0,aste_data_v2_16res,0.6873184898354308,0.7962515879801363
0,hotel_id_v2,0.7960939316438038,0.8794968926363314
0,prosa/news,0.2456140350877193,0.49476900769898835
0,prosa/socmed,0.5242828741834705,0.7407717151844175
17,aste_data_v2_14lap,0.6188605108055009,0.738795920979878
17,aste_data_v2_14res,0.7236024844720497,0.833203067943947
17,aste_data_v2_15res,0.6564729867482161,0.7925356205330619
17,aste_data_v2_16res,0.7170542635658915,0.8172089466539868
17,hotel_id_v2,0.7794533459000942,0.8710447064419186
17,prosa/news,0.2356687898089172,0.48368178213023005
17,prosa/socmed,0.519399603511753,0.7397385176734093
42,aste_data_v2_14lap,0.6233009708737863,0.7457685502120817
42,aste_data_v2_14res,0.7157676348547718,0.8170464354952801
42,aste_data_v2_15res,0.614314115308151,0.7677012838241867
42,aste_data_v2_16res,0.7121951219512196,0.8091984852640235
42,hotel_id_v2,0.7971513898460832,0.8806183320781558
42,prosa/news,0.24092409240924093,0.4998850009028389
42,prosa/socmed,0.5150825270347182,0.729743289256283
123,aste_data_v2_14lap,0.6190009794319294,0.7489850158131378
123,aste_data_v2_14res,0.7428273343766302,0.8407022399894091
123,aste_data_v2_15res,0.627016129032258,0.7734068289937936
123,aste_data_v2_16res,0.7018216682646212,0.8112404635561045
123,hotel_id_v2,0.8069453963902216,0.8848755894632514
123,prosa/news,0.23300970873786406,0.4782167827573389
123,prosa/socmed,0.516795865633075,0.7375850794409979
500,aste_data_v2_14lap,0.6231742940603701,0.7394198560437105
500,aste_data_v2_14res,0.7207661290322581,0.8323771933027285
500,aste_data_v2_15res,0.5966735966735967,0.7499355327666303
500,aste_data_v2_16res,0.6959847036328872,0.8014143083409352
500,hotel_id_v2,0.797328420082911,0.877982268035657
500,prosa/news,0.23895253682487724,0.4790128720920647
500,prosa/socmed,0.5004240882103478,0.7236471475984244
