random_seed,dataset,aste_f1,aste_edit_f1
0,aste_data_v2_14lap,0.5943852855759924,0.7369055306051673
0,aste_data_v2_14res,0.7137736815156169,0.83222749490111
0,aste_data_v2_15res,0.6285714285714286,0.767185661226454
0,aste_data_v2_16res,0.6873184898354308,0.7973145403537607
0,hotel_id_v2,0.794233899093234,0.8792283022790093
0,prosa/news,0.23923444976076555,0.492909829779007
0,prosa/socmed,0.5174666287986367,0.7402356816968806
17,aste_data_v2_14lap,0.6090373280943026,0.7380092952253391
17,aste_data_v2_14res,0.7173913043478262,0.8331796470167737
17,aste_data_v2_15res,0.6462793068297656,0.791118621991059
17,aste_data_v2_16res,0.7131782945736435,0.8175595701908633
17,hotel_id_v2,0.7747408105560791,0.8710509966951188
17,prosa/news,0.2229299363057325,0.48100106694710537
17,prosa/socmed,0.5120362503540073,0.7393372890497805
42,aste_data_v2_14lap,0.6135922330097087,0.7443906231653519
42,aste_data_v2_14res,0.7053941908713693,0.8162566569582309
42,aste_data_v2_15res,0.6043737574552684,0.7675084477257781
42,aste_data_v2_16res,0.7121951219512196,0.8104281800598879
42,hotel_id_v2,0.7953135768435562,0.8804741476013913
42,prosa/news,0.23432343234323436,0.49911026914588286
42,prosa/socmed,0.5093910073989754,0.729316021184217
123,aste_data_v2_14lap,0.6072477962781587,0.747012845652763
123,aste_data_v2_14res,0.7386541471048513,0.8413860312804924
123,aste_data_v2_15res,0.6189516129032258,0.7731963592832305
123,aste_data_v2_16res,0.7018216682646212,0.8124537626567313
123,hotel_id_v2,0.8055745944710989,0.8846976355127801
123,prosa/news,0.23300970873786406,0.4779539136264523
123,prosa/socmed,0.5076083835773759,0.7368853752267674
500,aste_data_v2_14lap,0.6095423563777995,0.7385382225949867
500,aste_data_v2_14res,0.717741935483871,0.832479698839499
500,aste_data_v2_15res,0.5904365904365905,0.75080202528714
500,aste_data_v2_16res,0.6940726577437859,0.8018080234791488
500,hotel_id_v2,0.7918010133578995,0.8776756868000811
500,prosa/news,0.2324058919803601,0.4768299632470404
500,prosa/socmed,0.49194232400339266,0.7228007813949511
