random_seed,dataset,aste_f1,aste_edit_f1
0,aste_data_v2_14lap,0.6049261083743842,0.7329869641477665
0,aste_data_v2_14res,0.7215320910973085,0.82822004957084
0,aste_data_v2_15res,0.6409989594172737,0.7680936102571709
0,aste_data_v2_16res,0.696078431372549,0.7960142126409013
0,hotel_id_v2,0.7973856209150327,0.8792534780407533
0,prosa/news,0.24429967426710095,0.48924251994410356
0,prosa/socmed,0.523412812410227,0.7379286557405825
17,aste_data_v2_14lap,0.6169154228855721,0.7355189741534262
17,aste_data_v2_14res,0.7245164662833246,0.8304045754446404
17,aste_data_v2_15res,0.6624869383490073,0.788157907290087
17,aste_data_v2_16res,0.7201565557729941,0.8145274128060797
17,hotel_id_v2,0.7804414906242582,0.8681644780886717
17,prosa/news,0.22875816993464052,0.47414754979185103
17,prosa/socmed,0.5186460126219162,0.737582155718566
42,aste_data_v2_14lap,0.6226600985221674,0.7382878682914733
42,aste_data_v2_14res,0.713162034609334,0.810236588117886
42,aste_data_v2_15res,0.6216768916155418,0.7673282097317226
42,aste_data_v2_16res,0.7249255213505461,0.8117012096017081
42,hotel_id_v2,0.7988001845869865,0.8801276367504258
42,prosa/news,0.23986486486486486,0.49807271287315996
42,prosa/socmed,0.516892867455963,0.7296435469495768
123,aste_data_v2_14lap,0.6181455633100698,0.74062528465389
123,aste_data_v2_14res,0.7448711204629144,0.8376843689466631
123,aste_data_v2_15res,0.6349534643226473,0.7734062034681115
123,aste_data_v2_16res,0.7079303675048357,0.8084295135024994
123,hotel_id_v2,0.8096440872560274,0.8849178685316003
123,prosa/news,0.23960066555740434,0.4771643087901441
123,prosa/socmed,0.5151515151515151,0.7346562926035266
500,aste_data_v2_14lap,0.6204162537165511,0.7370853374983487
500,aste_data_v2_14res,0.7269014803471159,0.8337050192764077
500,aste_data_v2_15res,0.6016949152542372,0.7483021622492654
500,aste_data_v2_16res,0.7028073572120038,0.7989566227760901
500,hotel_id_v2,0.7982354306942185,0.8764037336224856
500,prosa/news,0.239460370994941,0.46782752448177284
500,prosa/socmed,0.4998563631140477,0.7211504710850964
